sentence,tokens,tags,tag_ids,true_idioms,language
Letztens hab ich im Laden zwei CDs mitgehen lassen.,"[""Letztens "", ""hab "", ""ich "", ""im "", ""Laden "", ""zwei "", ""CDs "", ""mitgehen "", ""lassen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 0]","[""mitgehen lassen""]",german
Er hat wieder mal mein Feuerzeug mitgehen lassen.,"[""Er "", ""hat "", ""wieder "", ""mal "", ""mein "", ""Feuerzeug "", ""mitgehen "", ""lassen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 1, 2, 0]","[""mitgehen lassen""]",german
Das interessiert mich nicht die Bohne.,"[""Das "", ""interessiert "", ""mich "", ""nicht "", ""die "", ""Bohne"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 1, 2, 2, 0]","[""nicht die Bohne""]",german
Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.,"[""Die "", ""Israeliten "", ""zogen "", ""mit "", ""Kind "", ""und "", ""Kegel "", ""von "", ""\u00c4gypten "", ""nach "", ""Pal\u00e4stina"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0]","[""mit Kind und Kegel""]",german
"Am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.","[""Am "", ""Friedrichstra\u00dfenbunker "", ""lungern "", ""sie "", ""mit "", ""Kind "", ""und "", ""Kegel"", "", "", ""mit "", ""Taschen "", ""und "", ""Flaschen"", "", "", ""warten "", ""auf "", ""Bomben"", "", "", ""auf "", ""Alarm"", "", "", ""warten "", ""geduldig "", ""vor "", ""verschlossenen "", ""Toren"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""mit Kind und Kegel""]",german
Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.,"[""Unerwartet "", ""stand "", ""mein "", ""Bruder "", ""mit "", ""Sack "", ""und "", ""Pack "", ""vor "", ""meiner "", ""Haust\u00fcr "", ""und "", ""bat "", ""um "", ""Herberge"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[""mit Sack und Pack""]",german
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,"[""H\u00f6r"", ""\u2019 "", ""jetzt "", ""endlich "", ""auf "", ""die "", ""beleidigte "", ""Leberwurst "", ""zu "", ""spielen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]","[""beleidigte Leberwurst""]",german
Sei nicht so’ne beleidigte Leberwurst!,"[""Sei "", ""nicht "", ""so"", ""\u2019ne "", ""beleidigte "", ""Leberwurst"", ""!""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 1, 2, 0]","[""beleidigte Leberwurst""]",german
DVDs sind von gestern. Du brauchst Blu-Ray.,"[""DVDs "", ""sind "", ""von "", ""gestern"", "". "", ""Du "", ""brauchst "", ""Blu-Ray"", "".""]","[""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 1, 2, 0, 0, 0, 0, 0]","[""von gestern""]",german
Ich bin doch nicht von gestern!,"[""Ich "", ""bin "", ""doch "", ""nicht "", ""von "", ""gestern"", ""!""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 1, 2, 0]","[""von gestern""]",german
eine an den Haaren herbeigezogene Behauptung,"[""eine "", ""an "", ""den "", ""Haaren "", ""herbeigezogene "", ""Behauptung""]","[""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 1, 2, 2, 2, 0]","[""an den Haaren herbeigezogene""]",german
